epoch,train_acc,train_loss,test_acc,test_loss
6030,56.25,0.56493,52.8875,0.650751
6040,46.875,0.630057,55.0152,0.655515
6050,43.75,0.657769,54.1033,0.633966
6060,46.875,0.582126,54.7112,0.635949
6070,59.375,0.550793,54.4073,0.630329
6080,75,0.439748,52.8875,0.629838
6090,59.375,0.528118,54.4073,0.650682
6100,53.125,0.55077,51.9757,0.629832
6110,62.5,0.542613,55.3191,0.626924
6120,53.125,0.638057,57.4468,0.627806
6130,75,0.426646,52.8875,0.639651
6140,56.25,0.550012,52.8875,0.628126
6150,53.125,0.55535,53.4954,0.639751
6160,53.125,0.560865,51.9757,0.632084
6170,56.25,0.57822,53.1915,0.627968
6180,68.75,0.446543,51.9757,0.626223
6190,62.5,0.544273,54.7112,0.626279
6200,68.75,0.416735,52.5836,0.634649
6210,50,0.597144,52.2796,0.647216
6220,56.25,0.531459,55.6231,0.629316
6230,53.125,0.528975,52.5836,0.633281
6240,78.125,0.399961,53.7994,0.63986
6250,56.25,0.537953,53.1915,0.630096
6260,71.875,0.43562,51.9757,0.63952
6270,71.875,0.559945,55.3191,0.632923
6280,65.625,0.475806,52.5836,0.628619
6290,59.375,0.584676,53.7994,0.646048
6300,65.625,0.516305,53.7994,0.631069
6310,62.5,0.513556,53.7994,0.625524
6320,59.375,0.516095,55.3191,0.638638
6330,43.75,0.603724,52.8875,0.633476
6340,59.375,0.509239,53.4954,0.625488
6350,59.375,0.495291,54.1033,0.625071
6360,56.25,0.568119,54.7112,0.632616
6370,71.875,0.506165,54.1033,0.637131
6380,43.75,0.582255,57.1429,0.624758
6390,53.125,0.554022,54.4073,0.621408
6400,40.625,0.542944,56.231,0.623745
6410,53.125,0.560874,54.1033,0.623917
6420,68.75,0.468222,55.6231,0.626891
6430,68.75,0.488459,56.8389,0.625381
6440,71.875,0.445003,52.5836,0.619243
